SEQUENCE	LENGTH	Q_VALUE	SPANNING	poxtA	Copy
TB200091B3-202405281356420_20240528145125_00031_002377164_10.35	6376	10.38	F	1	1 
TB200091B3-202405281356420_20240528145125_00083_000997292_11.32	7189	11.35	F	1	1 
TB200091B3-202405281356420_20240528145125_00090_003422755_11.01	7308	11.04	F	1	1 
TB200091B3-202405281356420_20240528145125_00119_003058559_11.13	31994	11.14	F	2	1 
TB200091B3-202405281356420_20240528145125_00122_003440398_11.96	13208	11.98	F	2	1 
TB200091B3-202405281356420_20240528145125_00134_002911318_09.00	2432	8.99	F	1	1 
TB200091B3-202405281356420_20240528145125_00151_002994324_11.00	40037	11.01	F	3	2 
TB200091B3-202405281356420_20240528145125_00171_002424982_12.43	8455	12.45	F	1	1 
TB200091B3-202405281356420_20240528145125_00173_003533034_11.09	7522	11.09	F	2	1 
TB200091B3-202405281356420_20240528145125_00200_003055847_07.63	3267	7.61	F	1	1 
TB200091B3-202405281356420_20240528145125_00228_001178616_10.59	10172	10.61	F	2	1 
TB200091B3-202405281356420_20240528145125_00233_001014045_12.46	3893	12.5	F	1	1 
TB200091B3-202405281356420_20240528145125_00240_002874792_12.57	4840	12.57	F	1	1 
TB200091B3-202405281356420_20240528145125_00330_001320033_09.78	24660	9.78	F	2	1 
TB200091B3-202405281356420_20240528145125_00423_002833492_11.55	66290	11.55	F	7	4 
TB200091B3-202405281356420_20240528145125_00441_002090779_12.47	4460	12.55	F	1	1 
TB200091B3-202405281356420_20240528145125_00459_000283024_12.43	5919	12.44	F	1	1 
TB200091B3-202405281356420_20240528145125_00474_002904494_10.76	5029	10.82	F	1	1 
TB200091B3-202405281356420_20240528145125_00502_000726395_13.08	17113	13.09	F	2	1 
TB200091B3-202405281356420_20240528145125_00505_002000534_12.42	34521	12.43	F	5	3 
TB200091B3-202405281356420_20240528145125_00509_002732440_11.75	7307	11.75	F	1	1 
TB200091B3-202405281356420_20240528145125_00512_003023298_11.55	2866	11.6	F	1	1 
TB200091B3-202405281356420_20240528145125_00521_002681642_12.17	5425	12.19	F	1	1 
TB200091B3-202405281356420_20240528145125_00550_000944402_11.54	3375	11.56	F	1	1 
TB200091B3-202405281356420_20240528145125_00552_000279450_08.08	13932	8.09	F	1	1 
TB200091B3-202405281356420_20240528145125_00566_000208333_10.59	3785	10.6	F	1	1 
TB200091B3-202405281356420_20240528145125_00584_001286822_11.85	22723	11.86	F	3	2 
TB200091B3-202405281356420_20240528145125_00587_001431778_11.39	1990	11.5	F	1	1 
TB200091B3-202405281356420_20240528145125_00639_000188571_12.08	14574	12.08	F	3	2 
TB200091B3-202405281356420_20240528145125_00640_001175823_12.31	19764	12.31	F	3	2 
TB200091B3-202405281356420_20240528145125_00655_002960728_09.65	5743	9.71	F	1	1 
TB200091B3-202405281356420_20240528145125_00663_002161123_11.33	5447	11.4	F	1	1 
TB200091B3-202405281356420_20240528145125_00696_001841317_12.86	15384	12.87	F	1	1 
TB200091B3-202405281356420_20240528145125_00768_002701774_11.55	21486	11.56	F	3	2 
TB200091B3-202405281356420_20240528145125_00776_000277743_11.43	12169	11.45	F	1	1 
TB200091B3-202405281356420_20240528145125_00780_002218266_12.15	5151	12.19	F	1	1 
TB200091B3-202405281356420_20240528145125_00882_000235202_12.23	9477	12.29	F	1	1 
TB200091B3-202405281356420_20240528145125_00882_002418186_12.91	8616	12.92	F	2	1 
TB200091B3-202405281356420_20240528145125_00884_000788586_12.45	8997	12.48	F	1	1 
TB200091B3-202405281356420_20240528145125_00914_000023601_12.11	8168	12.11	F	1	1 
TB200091B3-202405281356420_20240528145125_00915_002035230_12.42	2899	12.43	F	1	1 
TB200091B3-202405281356420_20240528145125_00915_002614609_12.65	23250	12.65	F	2	1 
TB200091B3-202405281356420_20240528145125_00949_003388860_11.35	5539	11.41	F	1	1 
TB200091B3-202405281356420_20240528145125_01003_000048371_10.50	11746	10.51	F	2	1 
TB200091B3-202405281356420_20240528145125_01018_001097454_10.76	8817	10.79	F	2	1 
TB200091B3-202405281356420_20240528145125_01023_000953490_11.25	17533	11.27	F	1	1 
TB200091B3-202405281356420_20240528155535_00013_003200852_11.85	5181	11.93	F	1	1 
TB200091B3-202405281356420_20240528155535_00024_001166162_11.75	3913	11.84	F	1	1 
TB200091B3-202405281356420_20240528155535_00037_003295986_11.96	33839	11.97	F	1	1 
TB200091B3-202405281356420_20240528155535_00039_001640154_09.53	6214	9.58	F	1	1 
TB200091B3-202405281356420_20240528155535_00060_002962631_10.59	12725	10.59	F	2	1 
TB200091B3-202405281356420_20240528155535_00067_000181317_08.89	10441	8.9	F	2	1 
TB200091B3-202405281356420_20240528155535_00070_001181063_12.21	15331	12.23	F	2	1 
TB200091B3-202405281356420_20240528155535_00071_001324989_09.89	12085	9.89	F	1	1 
TB200091B3-202405281356420_20240528155535_00077_000547214_11.12	3008	11.19	F	1	1 
TB200091B3-202405281356420_20240528155535_00085_003421645_11.31	6702	11.3	F	1	1 
TB200091B3-202405281356420_20240528155535_00098_003101097_13.08	3131	13.2	F	1	1 
TB200091B3-202405281356420_20240528155535_00112_003515242_11.52	20451	11.53	F	4	2 
TB200091B3-202405281356420_20240528155535_00113_001666001_10.57	16589	10.58	F	1	1 
TB200091B3-202405281356420_20240528155535_00125_000185249_12.22	11131	12.24	F	2	1 
TB200091B3-202405281356420_20240528155535_00132_003038735_12.49	12331	12.56	F	2	1 
TB200091B3-202405281356420_20240528155535_00135_002941522_12.69	3256	12.74	F	1	1 
TB200091B3-202405281356420_20240528155535_00158_003433295_12.48	7794	12.49	F	1	1 
TB200091B3-202405281356420_20240528155535_00162_002677474_13.11	6219	13.12	F	1	1 
TB200091B3-202405281356420_20240528155535_00179_000735109_11.38	4147	11.43	F	1	1 
TB200091B3-202405281356420_20240528155535_00179_003511099_12.02	7072	12.04	F	1	1 
TB200091B3-202405281356420_20240528155535_00188_002751558_11.55	1898	11.62	F	1	1 
TB200091B3-202405281356420_20240528155535_00196_002666674_11.31	5235	11.32	F	2	1 
